english,javanese,en_length,jv_length,length_ratio
Do you agree with his opinion or not?,Kowe sarujuk apa ora marang panemune?,8,6,1.3333333333333333
Try to be a little polite.,Kowe jajal sopan sithik.,6,4,1.5
The flag is already up.,Genderane wis munggah.,5,3,1.6666666666666667
I fell asleep while studying at my desk.,Aku katuron nalika sinau ana ing mejaku.,8,7,1.1428571428571428
We can't distinguish him from his younger sibling.,Awakdhewe ora bisa mbedakake dheke karo adhine.,8,7,1.1428571428571428
A revolution has happened in technology.,Revolusi wis kelakon neng teknologi.,6,5,1.2
"From afar, that big coral rock looks like an old building.","Saka adoh, padhas karang gedhe kae katon kaya gedhong tuwa.",11,10,1.1
"Stop by for tea first, shall we?","Mampir ngeteh dhisik, mbokan?",7,4,1.75
I don't like coffee.,Aku ora doyan kopi.,4,4,1.0
Tom ended his speech with a beautiful song.,Tom mungkasi sesorahe sarana tembang kang endah.,8,7,1.1428571428571428
"When he heard the news, he turned pale.","Nalika dheke krungu wartane, dheke malih pucet.",8,7,1.1428571428571428
The reality remained that way for several days after the news arrived.,Kasunyatane isih kaya ngono nganti pirang-pirang dina sabanjure wartane tekan.,12,10,1.2
What else do you have in your pocket?,Kowe nduwe apa meneh neng sakmu?,8,6,1.3333333333333333
His hut was burned down.,Gubuge diobong.,5,2,2.5
Come quickly.,Endang tekaa.,2,2,1.0
Please watch the baby for a moment.,Tulung awasi bayine sedhela.,7,4,1.75
Do you know what this is?,Panjenengan pirsa boten punika menapa?,6,5,1.2
"This hall can accommodate 2,000 people.",Graha punika awrat kangge tiyang 2.000.,6,6,1.0
It rained yesterday.,Wingi udan.,3,2,1.5
It's certain he will pass the exam.,Genah dheweke bakal lulus ujian.,7,5,1.4
When are you leaving?,Kowe arep lunga kapan?,4,4,1.0
How much did you spend on renting the flat?,Pira enteke olehmu nyewa rusun?,9,5,1.8
You are always late.,Kowe kuwi mesthi telat.,4,4,1.0
I wish I had written to you.,Karepku aku wis nulis nggo kowe.,7,6,1.1666666666666667
The result was the opposite of what we expected.,Pametune malah sawalike saka sing dikarepake awakdhewe.,9,7,1.2857142857142858
I am disappointed in you.,Aku kuciwa marang Sampeyan.,5,4,1.25
"I'll call you back later, okay?","Mengko dak tilpun maneh, ya?",6,5,1.2
I can't come to the restaurant with you tonight.,Aku ora isa teka neng restoran karo kowe mengko bengi.,9,10,0.9
The children are playing with toys.,Lare-lare dolanan ngangge dolanan,6,4,1.5
I'd rather walk than wait for the next bus.,Aku mendhing mlaku tinimbang ngenteni bis sabanjure.,9,7,1.2857142857142858
"At that time, I was about to leave.","Nalika iku, aku piuju arep lunga.",8,6,1.3333333333333333
